test,material,density,dr,penetrator,rn,d,rpm,vr,vv,vt,rs,depth,container,b_c,bc_d_ratio,group_name,group,subgroup
1,Ottawa F65,loose,33,decagon,0.0839,25,0,0,0.01,0.01,0,8D,1,400,16,F65-L-Deca-8D-C1,1,1
2,Ottawa F65,loose,33,decagon,0.0839,25,6.6,0.009,0.005,0.01,1.7,8D,1,400,16,F65-L-Deca-8D-C1,1,1
3,Ottawa F65,loose,33,decagon,0.0839,25,7.6,0.01,0.001,0.01,10,8D,1,400,16,F65-L-Deca-8D-C1,1,1
4,Ottawa F65,loose,33,decagon,0.0839,25,0,0,0.02,0.02,0,8D,1,400,16,F65-L-Deca-8D-C1,1,2
5,Ottawa F65,loose,33,decagon,0.0839,25,10.1,0.013,0.015,0.02,0.9,8D,1,400,16,F65-L-Deca-8D-C1,1,2
6,Ottawa F65,loose,33,decagon,0.0839,25,14.8,0.019,0.005,0.02,3.9,8D,1,400,16,F65-L-Deca-8D-C1,1,2
7,Ottawa F65,loose,33,decagon,0.0839,25,15.3,0.02,0.001,0.02,20,8D,1,400,16,F65-L-Deca-8D-C1,1,2
8,Ottawa F65,loose,33,decagon,0.0839,25,0,0,0.04,0.04,0,8D,1,400,16,F65-L-Deca-8D-C1,1,3
9,Ottawa F65,loose,33,decagon,0.0839,25,20.2,0.026,0.03,0.04,0.9,8D,1,400,16,F65-L-Deca-8D-C1,1,3
10,Ottawa F65,loose,33,decagon,0.0839,25,26.5,0.035,0.02,0.04,1.7,8D,1,400,16,F65-L-Deca-8D-C1,1,3
11,Ottawa F65,loose,33,decagon,0.0839,25,29.6,0.039,0.01,0.04,3.9,8D,1,400,16,F65-L-Deca-8D-C1,1,3
12,Ottawa F65,loose,33,decagon,0.0839,25,30.6,0.04,0.001,0.04,40,8D,1,400,16,F65-L-Deca-8D-C1,1,3
13,Ottawa F65,loose,33,decagon,0.0839,25,0,0,0.08,0.08,0,8D,1,400,16,F65-L-Deca-8D-C1,1,4
14,Ottawa F65,loose,33,decagon,0.0839,25,29.6,0.039,0.07,0.08,0.6,8D,1,400,16,F65-L-Deca-8D-C1,1,4
15,Ottawa F65,loose,33,decagon,0.0839,25,47.7,0.062,0.05,0.08,1.3,8D,1,400,16,F65-L-Deca-8D-C1,1,4
16,Ottawa F65,loose,33,decagon,0.0839,25,56.7,0.074,0.03,0.08,2.5,8D,1,400,16,F65-L-Deca-8D-C1,1,4
17,Ottawa F65,loose,33,decagon,0.0839,25,60.6,0.079,0.01,0.08,7.9,8D,1,400,16,F65-L-Deca-8D-C1,1,4
18,Ottawa F65,loose,33,decagon,0.0839,25,61.1,0.08,0.001,0.08,80,8D,1,400,16,F65-L-Deca-8D-C1,1,4
19,Ottawa F65,loose,33,decagon,0.0839,25,0,0,0.1,0.1,0,8D,1,400,16,F65-L-Deca-8D-C1,1,5
20,Ottawa F65,loose,33,decagon,0.0839,25,45.8,0.06,0.08,0.1,0.8,8D,1,400,16,F65-L-Deca-8D-C1,1,5
21,Ottawa F65,loose,33,decagon,0.0839,25,66.2,0.087,0.05,0.1,1.7,8D,1,400,16,F65-L-Deca-8D-C1,1,5
22,Ottawa F65,loose,33,decagon,0.0839,25,72.9,0.095,0.03,0.1,3.2,8D,1,400,16,F65-L-Deca-8D-C1,1,5
23,Ottawa F65,loose,33,decagon,0.0839,25,76,0.099,0.01,0.1,10,8D,1,400,16,F65-L-Deca-8D-C1,1,5
24,Ottawa F65,loose,33,decagon,0.0839,25,76.4,0.1,0.001,0.1,100,8D,1,400,16,F65-L-Deca-8D-C1,1,5
25,Glass beads,loose,37,decagon,0.0254,25,0,0,0.04,0.04,0,8D,2,280,11.2,GB-L-Deca-8D,2,6
26,Glass beads,loose,37,decagon,0.0254,25,14.8,0.019,0.035,0.04,0.6,8D,2,280,11.2,GB-L-Deca-8D,2,6
27,Glass beads,loose,37,decagon,0.0254,25,20.2,0.026,0.03,0.04,0.9,8D,2,280,11.2,GB-L-Deca-8D,2,6
28,Glass beads,loose,37,decagon,0.0254,25,26.5,0.035,0.02,0.04,1.7,8D,2,280,11.2,GB-L-Deca-8D,2,6
29,Glass beads,loose,37,decagon,0.0254,25,29.6,0.039,0.01,0.04,3.9,8D,2,280,11.2,GB-L-Deca-8D,2,6
30,Glass beads,loose,37,decagon,0.0254,25,30.6,0.04,0.001,0.04,40,8D,2,280,11.2,GB-L-Deca-8D,2,6
31,Glass beads,loose,37,decagon,0.0254,25,0,0,0.08,0.08,0,8D,2,280,11.2,GB-L-Deca-8D,2,7
32,Glass beads,loose,37,decagon,0.0254,25,29.6,0.039,0.07,0.08,0.6,8D,2,280,11.2,GB-L-Deca-8D,2,7
33,Glass beads,loose,37,decagon,0.0254,25,47.7,0.062,0.05,0.08,1.3,8D,2,280,11.2,GB-L-Deca-8D,2,7
34,Glass beads,loose,37,decagon,0.0254,25,56.7,0.074,0.03,0.08,2.5,8D,2,280,11.2,GB-L-Deca-8D,2,7
35,Glass beads,loose,37,decagon,0.0254,25,60.6,0.079,0.01,0.08,7.9,8D,2,280,11.2,GB-L-Deca-8D,2,7
36,Glass beads,loose,37,decagon,0.0254,25,61.1,0.08,0.001,0.08,80,8D,2,280,11.2,GB-L-Deca-8D,2,7
37,Glass beads,loose,37,decagon,0.0254,25,0,0,0.1,0.1,0,8D,2,280,11.2,GB-L-Deca-8D,2,8
38,Glass beads,loose,37,decagon,0.0254,25,45.8,0.06,0.08,0.1,0.8,8D,2,280,11.2,GB-L-Deca-8D,2,8
39,Glass beads,loose,37,decagon,0.0254,25,66.2,0.087,0.05,0.1,1.7,8D,2,280,11.2,GB-L-Deca-8D,2,8
40,Glass beads,loose,37,decagon,0.0254,25,72.9,0.095,0.03,0.1,3.2,8D,2,280,11.2,GB-L-Deca-8D,2,8
41,Glass beads,loose,37,decagon,0.0254,25,76,0.099,0.01,0.1,10,8D,2,280,11.2,GB-L-Deca-8D,2,8
42,Glass beads,loose,37,decagon,0.0254,25,76.4,0.1,0.001,0.1,100,8D,2,280,11.2,GB-L-Deca-8D,2,8
43,#16  sand,loose,35,decagon,0.3318,25,0,0,0.04,0.04,0,8D,2,280,11.2,SS-L-Deca-8D,3,9
44,#16  sand,loose,35,decagon,0.3318,25,20.2,0.026,0.03,0.04,0.9,8D,2,280,11.2,SS-L-Deca-8D,3,9
45,#16  sand,loose,35,decagon,0.3318,25,26.5,0.035,0.02,0.04,1.7,8D,2,280,11.2,SS-L-Deca-8D,3,9
46,#16  sand,loose,35,decagon,0.3318,25,29.6,0.039,0.01,0.04,3.8,8D,2,280,11.2,SS-L-Deca-8D,3,9
47,#16  sand,loose,35,decagon,0.3318,25,30.6,0.04,0.001,0.04,40,8D,2,280,11.2,SS-L-Deca-8D,3,9
48,#16  sand,loose,35,decagon,0.3318,25,0,0,0.08,0.08,0,8D,2,280,11.2,SS-L-Deca-8D,3,10
49,#16  sand,loose,35,decagon,0.3318,25,47.7,0.062,0.05,0.08,1.3,8D,2,280,11.2,SS-L-Deca-8D,3,10
50,#16  sand,loose,35,decagon,0.3318,25,56.7,0.074,0.03,0.08,2.5,8D,2,280,11.2,SS-L-Deca-8D,3,10
51,#16  sand,loose,35,decagon,0.3318,25,60.6,0.079,0.01,0.08,7.9,8D,2,280,11.2,SS-L-Deca-8D,3,10
